data,nome,preco,ano,km,cilindradas,marca,tipo,cidade,cod,url
02/05 ,HONDA CG 2010,5000,2010,46000,150,HONDA,CG,Nova Era,1027721973,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg150-2010-unico-dono-1027721973
02/05 ,SHINERAY XY 50,3000,2012,6400,50,SHINERAY,XY,Betim,1027721411,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/shineray-xy-1027721411
02/05 ,SHINERAY XY 50,N/A,N/A,,125,SHINERAY,XY,Belo Horizonte,N/A,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-es-2013-partida-eletrica-excelente-estado-de-conservacao-1027720142
02/05 ,HONDA CG 125 FAN ES 2013,7900,2013,67000,125,HONDA,CG,Belo Horizonte,1027720142,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-es-2013-partida-eletrica-excelente-estado-de-conservacao-1027720142
02/05 ,HONDA CG 150 FAN ESDI/ 150 FAN ESDI FLEX 2010,5000,2010,60000,Acima de 1.000,HONDA,CG,Betim,1027718428,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-1027718428
02/05 ,HONDA CG 125 2013,7500,2013,1000,125,HONDA,CG,Ibirité,948523889,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-125-12x716-00-cartao-948523889
02/05 ,KAWASAKI NINJA 250R 2012,6500,2012,40000,250,KAWASAKI,NINJA,Sabará,1027713064,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-250-cc-1027713064
02/05 ,HONDA CG 150 TITAN,5000,2010,46000,200,HONDA,CG,Belo Horizonte,1027704605,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-cg-150-2010-1027704605
02/05 ,HONDA CG 125 FAN ES 2013,7800,2013,45000,125,HONDA,CG,Betim,1027692493,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-fan-125-es-12-13-1027692493
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2011,5800,2011,15000,125,HONDA,CG,Contagem,1027691615,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-125-fan-1027691615
02/05 ,HONDA CG 2010,4800,2010,62000,125,HONDA,CG,Ribeirão das Neves,1027679858,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-2010-1027679858
02/05 ,HONDA LEAD 110 2010,6500,2010,71000,100,HONDA,LEAD,Contagem,1027657724,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-lead-2010-1027657724
02/05 ,HONDA CG 125 FAN / FAN KS / 125 I FAN 2012,6200,2012,82314,125,HONDA,CG,Contagem,1027640697,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-fan-125-ks-1027640697
02/05 ,HONDA CG 150 TITAN,6000,2012,10000,150,HONDA,CG,Belo Horizonte,1027634180,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/2012-honda-cg-150-1027634180
02/05 ,HONDA CG 125 FAN ESD 2015,7400,2015,70000,125,HONDA,CG,Belo Horizonte,1027633566,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-2014-15-1027633566
02/05 ,YAMAHA YBR 125 FACTOR K/ FACTOR K1 2011,5000,2011,98000,125,YAMAHA,YBR,Belo Horizonte,1027595388,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/vendo-factor-2011-1027595388
02/05 ,HONDA CG 150 TITAN,7000,2013,10000,150,HONDA,CG,Belo Horizonte,1027585858,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/2013-honda-cg-150-titan-1027585858
02/05 ,HONDA  2011,5300,2011,872554,125,HONDA,,Sarzedo,1027585615,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-ks-125-2011-pedal-1027585615
02/05 ,YAMAHA TT,7900,2010,20000,250,YAMAHA,TT-R,Belo Horizonte,1027584766,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/ttr-230-1027584766
02/05 ,HONDA CG 150 TITAN,6000,2010,1000000,150,HONDA,CG,Mateus Leme,1027560401,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg-titan-150-2010-moto-de-trabalho-1027560401
02/05 ,KASINSKI MIRAGE 150 2011,4700,2011,50000,150,KASINSKI,MIRAGE,Igarapé,1027557709,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-custom-1027557709
02/05 ,HONDA CG 2010,7000,2010,55000,125,HONDA,CG,Belo Horizonte,1027553627,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-125-1027553627
02/05 ,HONDA CG 150 TITAN,4500,2010,84000,150,HONDA,CG,Sete Lagoas,1027536393,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-150-1027536393
02/05 ,2012,7200,2012,33000,100,,,Belo Horizonte,1027487783,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/honda-lead-2012-troco-por-pcx-1027487783
